time,block,fee-rate,function,sender,,,,,,,,,
2021-09-16T14:19:24.000Z,30120,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5352)) (series-id u998))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #17""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/f1de4c63-b732-4188-8efd-7e14fbc547f6.jpeg,image/jpeg,"(list (tuple (hash 0x9de13502a19fff0e8322c0f2ed5616a1f82b1bd51225693a36ebf2cdffe33726) (mime-type ""image/jpeg"") (name u""BTC ROCK #17 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/f1de4c63-b732-4188-8efd-7e14fbc547f6.jpeg"")))"
2021-09-21T22:00:19.000Z,30793,233200,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5439)) (series-id u1029))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #18""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/945e3ed1-4226-49ce-9d73-b58bda2e7752.jpeg,image/jpeg,"(list (tuple (hash 0x4c9ce20d87582de5e48c3e283ec8910f5c87b121933c832ba4d8bcdc67a200f2) (mime-type ""image/jpeg"") (name u""BTC ROCK #18 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/945e3ed1-4226-49ce-9d73-b58bda2e7752.jpeg"")))"
2021-09-15T05:38:47.000Z,29959,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5329)) (series-id u989))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #19""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e7c5eba4-60b3-4458-b85a-2d9052c7f76c.jpeg,image/jpeg,"(list (tuple (hash 0x8edf773e8ed03ee5d1851de9105c17a4d8aa4a513c49ea0ed5a9f80cdbb5f697) (mime-type ""image/jpeg"") (name u""BTC ROCK #19 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e7c5eba4-60b3-4458-b85a-2d9052c7f76c.jpeg"")))"
2021-09-10T10:06:57.000Z,29313,23240,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5201)) (series-id u945))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #2""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/251e2026-8e42-4efb-b056-e05df6b4d56b.jpeg,image/jpeg,"(list (tuple (hash 0x57f85926523a7c5b69eccc7f6690f78eaf8e47b14fd96f275c07645783eb8862) (mime-type ""image/jpeg"") (name u""BTC ROCK #2 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/251e2026-8e42-4efb-b056-e05df6b4d56b.jpeg"")))"
2021-09-15T05:59:25.000Z,29960,23320,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,(ok (tuple (count u1) (ids (list u5330)) (series-id u990))),SPM6Q24H3R7FA3WE4690TQ2JQ6E125XZHP47HQYY,none,none,"u""BTC ROCK #20""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/6a382a49-6dda-4cc2-82f7-b87504176cf3.jpeg,image/jpeg,"(list (tuple (hash 0xba2e998afe000e2db6609d79fd7edcfe304c406be0529eebae30fdfde78572cb) (mime-type ""image/jpeg"") (name u""BTC ROCK #20 #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/6a382a49-6dda-4cc2-82f7-b87504176cf3.jpeg"")))"
2021-09-19T22:11:16.000Z,30558,241200,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5404)) (series-id u1012))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #22 Precious """,https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/db2cde8f-ac65-4d4e-baf2-b2ddde160686.jpeg,image/jpeg,"(list (tuple (hash 0xbe3a1f388ad3d94686041433a49789d16931fd692a5627d756f38740b84e7910) (mime-type ""image/jpeg"") (name u""BTC Rock #22 Precious  #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/db2cde8f-ac65-4d4e-baf2-b2ddde160686.jpeg"")))"
2021-09-19T23:53:43.000Z,30563,240400,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5405)) (series-id u1013))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #23 Bloodred""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/ac9e22aa-718a-47ff-abe9-6c4fad3c260a.jpeg,image/jpeg,"(list (tuple (hash 0xd4d0e8460dbc7638610d267b7da83bf1724c277719a0900aff15448b272bd66d) (mime-type ""image/jpeg"") (name u""BTC Rock #23 Bloodred #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/ac9e22aa-718a-47ff-abe9-6c4fad3c260a.jpeg"")))"
2021-09-21T07:24:03.000Z,30730,243600,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5423)) (series-id u1022))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #24 Purple Perky""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/74c7944f-c2b3-4a10-bf49-a963f29ae1f9.jpeg,image/jpeg,"(list (tuple (hash 0xc42c24d3bbefa7a3dd7313b2a1acf7b642eef4a8774845f937a09619fde1fb3b) (mime-type ""image/jpeg"") (name u""BTC Rock #24 Purple Perky #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/74c7944f-c2b3-4a10-bf49-a963f29ae1f9.jpeg"")))"
2021-09-21T02:13:41.000Z,30712,246000,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5422)) (series-id u1021))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #25 Marmalade Green""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/2e75a80c-42f8-41e7-9325-fabb079318ee.jpeg,image/jpeg,"(list (tuple (hash 0xa618080c8cd3147a1c5e9e3cd84d63bc94eaac50089139a11472ea43b11ab14b) (mime-type ""image/jpeg"") (name u""BTC Rock #25 Marmalade Green #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/2e75a80c-42f8-41e7-9325-fabb079318ee.jpeg"")))"
2021-09-20T00:46:10.000Z,30566,246000,SP497E7RX3233ATBS2AB9G4WTHB63X5PBSP5VGAQ.boom-nfts,mint-series,SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,(ok (tuple (count u1) (ids (list u5406)) (series-id u1014))),SP8Q8QHDCZFG661H8431T2B1WX1FBD7PH76ZY1EF,none,none,"u""BTC Rock #26 Above and Below""",https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e51f4859-904d-4e4d-9233-75be97255f7f.jpeg,image/jpeg,"(list (tuple (hash 0x3009baca509c5feb6a7c0d55d58199dbfb46e962e0bf4f1f033094d829366815) (mime-type ""image/jpeg"") (name u""BTC Rock #26 Above and Below #1"") (number u1) (uri ""https://boom-nft-41369b66-36da-4442-be60-fff6d755b065.s3.amazonaws.com/e51f4859-904d-4e4d-9233-75be97255f7f.jpeg"")))"
